nombre;categoria;rvc;epochs;language;enlace;nombre2;rvc2;epochs2;language2;enlace2;nombre3;rvc3;epochs3;language3;enlace3;nombre4;rvc4;epochs4;language4;enlace4;nombre5;rvc5;epochs5;language5;enlace5;nombre6;rvc6;epochs6;language6;enlace6;nombre7;rvc7;epochs7;language7;enlace7;nombre8;rvc8;epochs8;language8;enlace8;nombre9;rvc9;epochs9;language9;enlace9;nombre10;rvc10;epochs10;language10;enlace10
Carlos Rivera;Singer;RVC2;275;;https://huggingface.co/SynthetizedTritone/StRvcModels/resolve/main/carlosrivers_v2_e275.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carlton Banks (Alfonso Ribeiro);Actor;RVC2;200;;https://huggingface.co/RaggedySLG3/Carlton_Banks/resolve/main/Carlton_Banks.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carol;FNF;RVC2, OV2;675;;https://huggingface.co/mrcreeper5/CarolFNF/resolve/main/Carolfnf.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carrot (One Piece) (RVC V2) 250 Epochs;One Piece;RVC2;250;;https://huggingface.co/RevolutionaryPie/CarrotRVC/resolve/main/Carrot.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CaseOh (Twitch Streamer);;RVC2;390;;https://huggingface.co/Resizable/CaseOh_/resolve/main/CaseOh_.zip;CaseOh;RVC2;250;;https://huggingface.co/Resizable/CaseOhV2/resolve/main/CaseOhRemastered.zip;CaseOh;RVC2;400;;https://huggingface.co/vinnystop/caseohv2/resolve/main/case2.zip?download=true;CaseOh;RVC2;300;;https://huggingface.co/vinnystop/caeoh/resolve/main/caseoh.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Casper McFadden;Casper;RVC2, RVMPE;350;;https://huggingface.co/Ms-Rose18/CasperMcFadden1995/resolve/main/CasperMcFadden.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Catnap;Poppy Playtime;OV2;300;;https://huggingface.co/C0ttontheBunny/Catnap/resolve/main/CatnapV2Ov2.zip?download=true;CatNap;RVC2;300;;https://huggingface.co/jkhgf/SLWooly/resolve/main/RECDCatnap.zip;CatNap ;RVMPE;600;;https://huggingface.co/Homiebear/Catnap/resolve/main/POPPYPLAYTIME%20CatNap.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cell;Dave's House;RVC2;300;;https://app.kits.ai/convert/shared/cell-daves-house;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cell;Dragon Ball;RVC2;300;Italian;https://huggingface.co/Loren85/Cell-DBZ-Ita/resolve/main/Cell%20DBZ%20ITA%20300.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cesar Torres;FNF;RVC2;150;;https://huggingface.co/REDACTEDREDACT/CesarFNF/resolve/main/CesarFNF.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
